Rank,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
1,Binary XGBoost,0.927689153373006,0.9280109177755032,0.9093948512203276,0.9186085781830464,0.968655654513937
2,Binary Random Forest,0.91553733059959,0.8983810982279589,0.9153014599353616,0.9067623516422854,0.9646356471850644
3,Binary Decision Tree,0.9272390858628794,0.92018779342723,0.9174189234369776,0.9188012723924326,0.9616772578257268
4,Tuned Binary Decision Tree,0.9308396259438916,0.9223236145114624,0.923659868494372,0.9229912578651372,0.9592432352694272
5,"Binary KNN (30,000-row stratified training sample)",0.743411511726759,0.6903110758866653,0.7765518778557896,0.7308963130015209,0.8282166083802124
6,Binary Logistic Regression,0.6971045656848527,0.6543837357052097,0.688732865262454,0.6711190747678775,0.7775467690767836
7,Binary Linear SVM,0.6961044156623494,0.6530008453085376,0.688732865262454,0.6703910614525139,0.7769029350590071
